==PROF== Connected to process 1188633 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 1188633
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4960"
"1","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","36096"
"2","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4800"
"3","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","46048"
"4","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4032"
"5","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","49888"
"6","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4896"
"7","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","29856"
"8","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3552"
"9","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","64800"
"10","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(16, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3200"
"11","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","84160"
"12","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3520"
"13","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","27904"
"14","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4448"
"15","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","47040"
"16","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5696"
"17","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","53152"
"18","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3968"
"19","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","61568"
"20","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(8, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5184"
"21","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","46400"
"22","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(16, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4736"
"23","1188633","mistralrs","127.0.0.1","1188913  ""<default domain>:gemma4.attn.o:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","69280"
